Disease,Symptoms,Medical_Specialty
lyme disease,"early_symptoms, a_rash_other_stage, weakness, people, acrodermatitis_chronic_atrophicans, bull's-eye, eye_nerves, hips, 1_symptoms, feet, a_common_sign, muscle_weakness, damage, lyme_disease_rash_illustration, a_tick_bite, different_skin_colors, itchy_bump, early_localized_disease, joints, the_rash, 3_to_10_weeks, other_symptoms, a_bull's-eye_rash, the_center, a_target, 3_symptoms, i, this_skin_condition, patient, a_skin_condition, a_tick-borne_disease, system:'you, many_years, patients, a_mosquito_bite, the_skin, a_limited_set, the_symptoms, headache, a_period, a_rash, many_people, late_disseminated_disease, some_people, your_skin, it, tops, irregular_heartbeats, joint_stiffness, heart_tissue, many_months, days, one_or_both_sides, the_site, the_tick_bite, pain_or_vision_loss, the_typical_early_stage, the_touch, close__close_lyme_disease, that, arthritis, the_back, stages, pain, swollen_lymph_nodes, the_third_stage, the_stage_1_symptoms, the_eye, a_long_time, disease, numbness, the_earlier_stages, the_backs, lyme_disease, more-serious_cases, europe, 1____________lyme_disease, other_parts, the_legs, particularly_the_knees, fever, the_type, extreme_tiredness, the_body, illustration, knees, pains, symptoms, this_stage, immune-system_activity, the_united_states, the_most_common_condition, treatment, you, the_hands, the_elbows, stage, the_face, muscle_aches, tissues, neck_pain, early_disseminated_disease, the_feet, a_single_circle, this, large_joints, they, the_stages","Dermatologist, Orthopedist"
lymphedema,"feeling, months, the_immune_system_________parts, signs, system:'you, the_immune_system___parts, patients, as_well_as_the_tonsils, a_feeling, leg_lymphedema_lymphedema, the_body's_immune_system, symptoms, leg, the_skin, tightness_restricted_range, both_arms, close__close_leg_lymphedema___leg_lymphedema_lymphedema, disease, the_arm, the_immune_system____________parts, years, the_lymphatic_system, an_arm, a_leg, which, part, the_spleen, rare_circumstances, the_chest_wall, legs, lymph_channels, treatment, all, cancer_treatment, it, thymus, lymphedema, motion_recurring_infections, infection, heaviness, tightness, leg_lymphedema___leg_lymphedema_lymphedema, both_legs, close__close_parts, abdomen, parts, i, arms, leg_lymphedema________________leg_lymphedema_________leg_lymphedema___leg_lymphedema_lymphedema, fibrosis, leg_lymphedema____________leg_lymphedema___leg_lymphedema_lymphedema, patient, lymph_nodes, the_immune_system________________parts, adenoids, the_immune_system, fingers","Infectious Disease Specialist, Otolaryngologist"
lymphoma,"signs, system:'you, patients, swollen_lymph_nodes, symptoms, lymphoma, shortness, your_neck, swollen_lymph_nodes____________swollen_lymph_nodes, breath_unexplained_weight_loss_itchy_skin, the_inset, the_lower_jaw, swollen_lymph_nodes___swollen_lymph_nodes, armpits, unexplained_weight_loss, i, the_most_common_places, swollen_lymph_nodes_________swollen_lymph_nodes, close__close_swollen_lymph_nodes, fatigue, patient, lymph_nodes, the_neck, painless_swelling",Oncologist
lynch syndrome,"stomach_cancer, pancreatic_cancer, system:'you, kidney_cancer, people, patients, the_inside_lining, (endometrial_cancer, ureteral_cancer, the_uterus, a_family_history, gallbladder_cancer, brain_cancer, cancer, small_intestine_cancer, a_personal_history, colon_cancer, more_than_one_type, lynch_syndrome, bladder_cancer, other_cancers, bile_duct_cancer, i, ovarian_cancer, age, patient, age_50_cancer, skin_cancer","Gastroenterologist, Urologist"
macular degeneration,"central_vision, blind_spots",General Practitioner
magnesium deficiency,"appetite, numbness, cramps, irregular_heartbeat, loss, weakness, irritability, nausea, personality_changes, muscle_twitches, tingling, seizures, mental_confusion, fatigue","Orthopedist, Otolaryngologist"
malaria,"a_return, my_discomfort, signs, some_types, excessive_sweating, system:'you, a_really_high_fever, nausea, patients, a_headache, my_stomach, my_body, a_high_fever, symptoms, malaria_experience_cycles, and_intense_itching, a_few_days, general_feeling, headache, my_fever, itching, chills, malaria, excruciating_discomfort, vomiting, diarrhoea, muscle_pain, an_attack, high_fever, and_nausea, malaria_""attacks, my_muscles, a_few_weeks, a_lot, shivering, sweating, your_body, it, and_intense_scratching, nausea_and_muscle_pain, aches, joint_pain_fatigue, my_head, normal_temperature, up_to_a_year, muscle_aches, muscle_pain, and_severe_muscle_pain, muscle, malaria_parasites, the_past_few_days, and_muscle_aches, and_a_fever, severe_itching, and_severe_itching, discomfort_headache_nausea, who, an_infected_mosquito, rapid_breathing_rapid_heart_rate_cough__some_people, i, a_high_temperature, and_a_headache, malaria_signs, patient, my_skin, and_severe_body_itchiness, me, a_fever, diarrhea_abdominal_pain_muscle, fever","Orthopedist, Pulmonologist"
male breast cancer,"your_nipple, that, signs, a_painless_lump, system:'you, i, your_breast, patients, thickening, inward_discharge, redness, symptoms, your_breast_tissue, patient, the_skin, or_a_nipple, changes, male_breast_cancer",Oncologist
male hypogonadism,"fetal_development, testicles, normal_reproductive_function, muscle_mass_development, the_external_sex_organs, muscle_mass_voice_deepening_growth, male_nor_clearly_female_(ambiguous_genitals, the_trunk, hair_growth, sperm, prostate_gland, male_hypogonadism, adult_males, impaired_growth, those, female_genitals_genitals, development, i, semen, patient, the_cause, signs, body_decrease, system:'you, your_health_care_provider, patients, the_body_development, osteoporosis, body_and_facial_hair_growth, adulthood, mental_and_emotional_changes, these, sex_drive, it, excessive_growth, appropriate_treatment, puberty, hypogonadism, who, bone_mass, normal_development, that, how_much_testosterone, breast_tissue, the_condition, stores, the_arms, certain_masculine_physical_characteristics, legs, the_penis, sexual_intercourse, the_seminal_vesicles, some_men, a_child, the_result, early_signs, male_reproductive_system, relation, fluid, men, enough_testosterone, the_body, testosterone, moves_sperm, symptoms, close__close_male_reproductive_system___male_reproductive_system, male_reproductive_system___male_reproductive_system, severe_hypogonadism, the_male_reproductive_system, time, hot_flashes, women, gynecomastia, help, you, the, underdeveloped_male_genitals, an_important_first_step, difficulty, the_face, menopause","Endocrinologist, Orthopedist"
male infertility,"veins, that, problems, signs, system:'you, some_cases, patients, male_infertility, symptoms, other_signs, hormonal_imbalance, or_difficulty, facial_or_body_hair, an_underlying_problem, sperm, the_testicle_area, ejaculate, normal_sperm_count, sexual_function, fewer_than_15_million_sperm, ejaculation, a_condition, the_main_sign, the_testicle, an_erection, gynecomastia, small_volumes, erectile_dysfunction, abnormal_breast_growth, you, difficulty, a_child, a_total_sperm_count, milliliter, i, reduced_sexual_desire, semen, patient, the_passage, no_other_obvious_signs, example, an_inherited_disorder, a_chromosomal_or_hormonal_abnormality, the_inability",Psychiatrist
malignant hyperthermia,"that, problems, signs, surgery, system:'you, patients, people, recovery, no_signs, symptoms, mottled_skin, these_drugs, the_future, certain_anesthesia_drugs, irregular_skin_color, spasms, a_reaction, cholesterol, excessive_heat, rare_cases, malignant_hyperthermia, risk, shallow_breathing, intense_physical_activity, a_viral_illness, you, statin_medication, dangerously_high_body_temperature_excessive_sweating_patchy, your_first_exposure, most_cases, anesthesia, certain_drugs, susceptibility, a_serious_reaction, i, other_anesthesia_drugs, patient, severe_muscle_rigidity, humidity, they","Oncologist, Pulmonologist"
malignant peripheral nerve sheath tumors,"a_growing_lump, signs, system:'you, i, tissue, patients, pain, malignant_peripheral_nerve_sheath_tumors, symptoms, patient, the_skin, the_affected_area_weakness, the_affected_body_part",Oncologist
mammary duct ectasia,"inverted_nipple____________inverted_nipple___inverted_nipple, that, signs, breast_tenderness, system:'you, a_dirty_white, the_nipple, patients, a_doctor, symptoms, the_clogged_duct, the_area, a_bacterial_infection, the_nipple_and_areolar_tissue, any_signs, inverted_nipple___inverted_nipple, inverted_nipple, some_people, the_nipple_or_surrounding_breast_tissue_(areola)_redness, areola, close_inverted_nipple, inverted_nipple________________inverted_nipple_________inverted_nipple___inverted_nipple, greenish_or_black_nipple_discharge, one_or_both_nipples_tenderness, mammary_duct_ectasia, i, a_nipple, a_medical_concern, mastitis, patient, the_affected_milk_duct, fever, inflammation",Infectious Disease Specialist
marfan syndrome,"marfan_syndrome_marfan_syndrome, that, marfan_syndrome________________finger_length, the_disorder, system:'you, longer_arms, the_body, patients, marfan_syndrome, people, a_breastbone, symptoms, only_mild_effects, the_signs, their_hands, finger_length, she, the_edge, your_arm_span, disproportionately_long_arms, close__close_finger_length, marfan_syndrome___finger_length, the_same_family, life-threatening_complications, legs, members, close__close_longer_arms, some_people, a_fist, it, marfan_syndrome_________finger_length, you, marfan_syndrome_people, especially_long_fingers, others, he, so_many_different_areas, who, marfan_syndrome_features, palate_and_crowded_teeth_heart_murmurs, marfan_syndrome___longer_arms, i, marfan_syndrome____________finger_length, their_thumbs, a_genetic_disorder, your_doctor, arms, patient, unusually_long_arms, they, fingers","Orthopedist, Otolaryngologist"
marijuana abuse,"cognition, impaired_memory, anxiety, altered_judgment",Psychiatrist
mastitis,"a_burning_sensation, signs, breast_tenderness, system:'you, patients, 38.3_c, thickening, symptoms, the_touch_breast, breast_tissue, or_a_breast_lump_pain, breast-feeding_skin_redness, 101_f, ill_fever, warmth, a_wedge-shaped_pattern, i, mastitis, patient, they","Dermatologist, Infectious Disease Specialist"
mastoiditis,"headache, impaired_hearing, young_children, mastoid_bone_protrusion, tenderness, loss, pus, irritability, pain, drainage, redness, the_ear, earache, infants, the_area, fluid, fever","Orthopedist, Otolaryngologist"
mcad deficiency,"other_illnesses, signs, the_disorder, system:'you, patients, people, symptoms, babies, mcad_deficiency, diarrhea, episodes, no_symptoms, adulthood, rare_cases, these_episodes, hypoglycemia, young_children, enough_complex_carbohydrates_viral_infections, mcad__vomiting_lack, i, recurrent_fever, patient, mcad_signs, they","Infectious Disease Specialist, Psychiatrist"
measles,"spots, flat_blotches, exposure, signs, that, stages, system:'you, dry_cough, the_body, patients, the_inner_lining, this_time, acute_illness, no_signs, symptoms, the_same_time, 105.8_f, a_persistent_cough, the_skin, koplik's_spots, measles_signs, recovery, nonspecific_signs, the_thighs, small_red_spots, feet, the_cough, the_next_few_days, the_arms, a_person, another__the_infection, )_tiny_white_spots, a_red_background, lower_legs, the_mouth, a_runny_nose, which, measles, inflamed_eyes, the_fever, tight_clusters, a_mild_to_moderate_fever, about_eight_days, the_rash, bluish-white_centers, chest, others, the_cheek, a_sore_throat, the_face, infection, other_symptoms, the_first_10_to_14_days, the_measles_virus, this_relatively_mild_illness, eyes, about_10_days, the_virus, i, a_skin_rash, incubation, conjunctivitis, bumps, a_splotchy_red_appearance, rash, patient, the_measles_rash, the_illness, four_days, some, 2_to_3_weeks","Infectious Disease Specialist, Otolaryngologist"
median arcuate ligament syndrome mals,"9.1_kilograms, mals, system:'you, nausea, patients, symptoms, stomach_pain, the_area, nerves, the_symptoms, any_symptoms, compression, food, usually_greater_than_20_pounds, which, median_arcuate_ligament_syndrome, significant_weight_loss, diarrhea_fear, long-term_(chronic)_stomach_pain, those, body_position, blood_flow, the_celiac_artery, i, the_upper_middle_stomach_area, mals__pain, patient, a_lack",Orthopedist
medication overuse headache,"system:'you, nausea, patients, pain_medicine, symptoms, headache, the_medicine, medication_overuse_headaches, irritability, trouble, memory_problems, you, the_early_morning, other_symptoms, i, restlessness, patient, they, the_type",Otolaryngologist
melanoma,"a_uniform_color, asian_descent, moles________________moles_________moles___moles_moles, this_melanoma, people, the_soles, between_10_and_40_moles, adults, the_size, irregular_border, many_colors, changes, color, a_change, all, the_color, an_eye_melanoma, cancerous_(malignant)_moles, only_one_or_two_unusual_characteristics, melanoma_warning_signs, vision_changes, a_nail, i, otherwise_normal-appearing_skin, a_rare_form, age, your_doctor, ocular_melanoma, the_spaces, your_back, your_surrounding_skin, patient, new_itchiness, childhood, inflammation, an_irregular_border, mouth, system:'you, your_feet, two_very_different-looking_halves, patients, your_hands, genitals, hidden_melanomas_melanomas, unusual_moles, the_sun, a, these_hidden_melanomas, the_changes, (about_6_millimeters, an_existing_mole, the_mouth, places, which, these, toenail, your_body, it, size, a_distinct_border, the_uvea, melanomas, others, appearance, hidden_melanomas, little_or_no_exposure, most_moles, areas, fingernail_beds, black_people, arms, the_layer, the_first_melanoma_signs, palms, some, d, growths, asymmetrical_shape, that, the_palms, other_skin_cancers, pain, most_people, any_change, mucosal_melanomas, hairs, the_eye, urinary_tract, new_growth, a_new_pigmented_or_unusual-looking_growth, oval, the_white, esophagus, dark_skin_pigment, a_fingernail, new_signs, moles, melanoma____________melanoma___melanoma, melanoma________________melanoma_________melanoma___melanoma, irregular_shapes, moles___moles_moles, legs, characteristics, borders, scalp, an_uneven_distribution, face, your_toes, close__close_moles___moles_moles, moles____________moles___moles_moles, acral-lentiginous_melanoma, eye_melanoma, vagina, shape, e, a_mole, sclera, digestive_tract, the_letters, c, a_hidden_area, tan, exposure, a_pencil_eraser, the_nose, close__close_melanoma___melanoma, melanoma, symptoms, moles_moles, an_eye_exam, melanoma___melanoma, darker_skin, normal_moles_normal_moles, the_mole, time, inch, new_moles, both, the_time, the_first_sign, anus, your_palms, you, the_hands, other_far_more_common_conditions, your_skin__melanoma, mucosal_melanoma, soles, color_variations, much_sun_exposure, the_development, the_feet, the_mucous_membrane, about_6_millimeters, diameter, they",Dermatologist
men 1,"kidney_stones, too_many_hormones, men, signs, the_body, system:'you, i, mayo_clinic_staff, patients, mayo_clinic_staff__multiple_endocrine_neoplasia, mayo_clinic, type, symptoms, the_release, care, patient, the_stomach, bone_pain_broken_bones","Endocrinologist, Gastroenterologist"
men 2,"close__close_multiple_endocrine_neoplasia, and_medullary_thyroid_cancer, that, men, tumors, the_throat, mouth, system:'you, the_body, patients, people, a_tumor, adrenal_tumors, symptoms, a_unique_appearance, 2b_medullary_thyroid_cancer, the_lips, lips, long_arms, nerves, each_tumor_type, tumor, a_thyroid_tumor, high_blood_pressure_rapid_heart_rate_anxiety_headaches__symptoms, neck_trouble, no_symptoms, pheochromocytoma, multiple_endocrine_neoplasia, medullary_thyroid_cancer, primary_hyperparathyroidism, 2b, legs, some_people, too_many_hormones, it, type_2b, the_adrenal_gland, men_2b, hoarseness_diarrhea__parathyroid_hyperplasia, 2_men, muscle, tissues, eyes, who, i, joint_pain_constipation_fatigue_memory_problems, the_tongue, bumps, the_release, patient, they, digestive_tract, the_type","Endocrinologist, Oncologist"
meniere disease,"loss, tinnitus",General Practitioner
menieres disease,"feeling, fullness, system:'you, regular_dizzy_spells, nausea, patients, the_term, people, meniere's_disease, pressure, symptoms, how_many_vertigo_attacks, hearing_loss, sound, a_vertigo_attack, tinnitus, time, a_ringing, a_spinning_feeling, vertigo, a_while, it, loss, you, 12_hours, serious_vertigo, 20_minutes, i, your_ear, patient, this, the_ear, aural_fullness",Otolaryngologist
meningioma,"the_ears, your_arms_or_legs_language_difficulty, that, the_tumor, signs, system:'you, patients, the_brain, symptoms, the_morning_hearing_loss, vision, memory_loss_loss, changes, double_or_blurriness_headaches, especially_those, a_meningioma, i, smell_seizures_weakness, patient","Neurologist, Oncologist"
meningitis,"they, poor_feeding, signs, top, system:'you, some_cases, nausea, patients, the_body, the_flu, possible_symptoms, sudden_high_fever, symptoms, light, seizures, severe_headache, meningococcal_meningitis, the_baby's_head, these_signs, vomiting, trouble, a_bulge, early_meningitis_symptoms, stiff_neck, newborns_newborns, over_a_few_days, sleepiness, no_appetite, neck, infants, confusion, skin_rash, constant_crying, thirst, anyone, the_soft_spot, i, the_age, 2_years, sensitivity, high_fever, sleep, patient, several_hours, meningitis",Infectious Disease Specialist
menopause,"pregnancy, perimenopause, system:'you, a_month, patients, symptoms, menstruation, periods, some_irregularity, dry_skin_loss, irregular_periods_vaginal_dryness_hot_flashes_chills, (perimenopause, metabolism_thinning_hair, the_months, a_period, night, these_signs, years, women, skipping_periods, changes, a_few_months, sleep_problems, you, menstrual_periods, your_periods, breast_fullness__signs, mood, monthly_cycles, i, irregular_periods, a_pregnancy_test, the_menopausal_transition, patient, weight_gain, shorter_cycles, they","Dermatologist, Gynecologist"
menorrhagia,"signs, tampons, system:'you, patients, symptoms, the_night, sanitary_protection, blood_clots, shortness, daily_activities, menorrhagia, double_sanitary_protection, heavy_menstrual_flow_symptoms, several_consecutive_hours, tiredness, a_quarter, one_or_more_sanitary_pads, i, a_week, breath, your_menstrual_flow, anemia, patient, fatigue","Gynecologist, Pulmonologist"
menstrual cramps,"that, the_onset, continuous_ache_pain, your_lower_abdomen, system:'you, i, headache_dizziness, patients, pain, your_period, symptoms, patient, loose_stools, intense_pain, menstrual_cramps, some_women",Gynecologist
mental illness,"highs, problems, signs, situations, the_disorder, system:'you, lows_withdrawal, people_problems, patients, physical_problems, low_energy, symptoms, pains, back_pain, or_extreme_feelings, stomach_pain, (delusions, friends, hostility_or_violence_suicidal_thinking, hallucinations_inability, thoughts, circumstances, trouble, reduced_ability, examples, detachment, daily_problems, mental_illness_symptoms, emotions, alcohol_or_drug_use, sex_drive, behaviors, mental_illness, excessive_fears, guilt_extreme_mood_changes, habits, worries, a_mental_health_disorder, sad_or_down_confused_thinking, headaches, i, major_changes, reality, excessive_anger, or_other_unexplained_aches, paranoia, patient, other_factors","Gastroenterologist, Psychiatrist"
meralgia paresthetica,"the_outer_(lateral)_part, meralgia_paresthetica, your_body, system:'you, i, these_symptoms, patients, burning_pain_decreased_sensation, pain, one_side, standing, your_doctor, you, symptoms, patient, your_thigh, even_a_light_touch",General Practitioner
merkel cell carcinoma,"shades, system:'you, patients, head, sunlight, red, the_first_sign, your_skin, your_body, neck, purple, the_face, painless_nodule, the_nodule, areas, i, most_merkel_cell_carcinomas, patient, merkel_cell_carcinoma, they, tumor",Oncologist
mesenteric ischemia,"the_chronic_form, chronic_mesenteric_ischemia_signs, that, urgent_need, an_hour_pain, system:'you, i, acute_mesenteric_ischemia_signs, patients, a_bowel_movement_fever_nausea, pain, abdominal_pain, symptoms, severe_abdominal_pain, patient, the_acute_form, one_to_three_hours, mesenteric_ischemia","Gastroenterologist, Infectious Disease Specialist"
mesenteric lymphadenitis,"the_lower_right_side, possible_signs, signs, system:'you, i, more_widespread_general_abdominal_tenderness_fever, patients, the_ailment, mesenteric_lymphadenitis, symptoms, abdominal_pain, mesenteric_lymph_node_enlargement, patient, diarrhea_nausea, what, the_pain",Infectious Disease Specialist
mesothelioma,"other_types, the_disease, that, signs, system:'you, chest_pains, patients, mesothelioma_signs, symptoms, the_skin, the_tissue, your_chest_unexplained_weight_loss__peritoneal_mesothelioma, a_testicle, pericardial_mesothelioma, tissue, breathing_difficulty, the_abdomen, which, other_forms, pleural_mesothelioma__chest_pain_painful_coughing_shortness, peritoneal_mesothelioma__abdominal_pain_abdominal_swelling_nausea_unexplained_weight_loss, the_testicles, pleural_mesothelioma, tunica_vaginalis, breath_unusual_lumps, the_lungs, i, the_heart, these_forms, patient, the_cancer, a_mass, mesothelioma","Oncologist, Pulmonologist"
metabolic syndrome,"the_disorders, your_blood_sugar, that, and_blurred_vision, system:'you, i, you, patients, one_sign, diabetes, symptoms, fatigue, the_signs, patient, a_large_waist_circumference, obvious_signs, metabolic_syndrome","Endocrinologist, Psychiatrist"
metachromatic leukodystrophy,"progressive_loss, nervous_system_functions, muscle_function, survival, signs, initial_symptoms, the_course, system:'you, adult_form, increasing_difficulty, patients, pain, rigid_muscles, hallucinations, children, heat_and_sound_loss, emotional_and_behavioral_problems, symptoms, speech, stable_symptoms, school, and_issues, the_protective_myelin, periods, the_nerves_results, loss_seizures, behavior_and_psychiatric_problems, adults, behavior, the_most_common_form, damage, between_3_and_16_years, the_juvenile_form, progression, the_ability, drug_and_alcohol_misuse, progressive_worsening, work, sensations, substance_misuse, each_form, loss, metachromatic_leukodystrophy, late_infantile_form, bladder, the_late_infantile_form, the_second_most_common_form, thinking_and_memory_skills_loss, this_form, several_decades, unstable_emotions, brain, paralysis_loss, early_signs, i, a_different_age, cognitive_problems, rates, around_2_years, poor_muscle_function, age, bowel_function, motor_skills, juvenile_form, patient, different_initial_signs, this, delusions, touch, childhood, psychotic_symptoms, rapid_decline, gallbladder_problems","Gastroenterologist, Neurologist"
metatarsalgia,"that, system:'you, your_feet, patients, pain, sharp_or_shooting_pain, a_feeling, symptoms, the_part, numbness, a_pebble, your_foot, your_shoe, you, a_hard_surface, your_toes, metatarsalgia, i, the_ball, the_sole, patient",General Practitioner
mgus,"a_rash_or_nerve_problems, numbness, monoclonal_gammopathy, some_people, mgus, chance, signs, system:'you, i, you, people, patients, a_blood_test, symptoms, patient, another_condition","Dermatologist, Neurologist"
microcephaly,"the_top, that, a_measurement, a_head_size, the_distance, system:'you, some_children, patients, children, the_child's_head, an_established_value, the_child's_age, other_children, health_care_providers, the_primary_symptom, a_measure, head_size, a_child, standardized_growth_charts, other_children's_measurements, a_sloping_forehead, the_same_age, i, more-severe_microcephaly, circumference, microcephaly, patient, small_heads, the_measurement, percentiles, sex",General Practitioner
microscopic colitis,"microscopic_colitis, signs, system:'you, i, chronic_watery_diarrhea_abdominal_pain, patients, symptoms, patient, weight_loss_nausea_fecal_incontinence_dehydration, the_symptoms, cramps",General Practitioner
migraine,"and_frequent_dizziness, and_sensitivity, as_well_as_acid_reflux, a_few_days, eyesight_problems, pain_relievers, sound, these_symptoms, trouble, blurred_and_distorted_vision, my_usual_activities, stomach_acid, stiff_neck, a_change, my_head, things, and_stomach_problems, recurrent_headaches, my_eyesight, i, patient, and_frequent_migraines, acid_reflux, a_migraine, regular_headaches, system:'you, my_stomach, patients, a_headache, light, digestive_issues, vision, and_anxiety, headache, a_stiff_neck, stomach_problems, a_while, excessive_hunger, it, excessive_hunger, an_increased_appetite, blurry_vision, acidity, headaches, severe_headaches, impatience, sensitivity, distress, that, my_food, a_stiff_neck_and_eye_issues, and_eyesight_difficulties, visual_disruptions, and_visual_distortion, irritability, one_side, as_well_as_blurred_and_distorted_vision, migraines, the-counter, visual_disturbances, hazy_and_distorted_vision, my_regular_activities, what, my_daily_life, and_acid_reflux, and_excessive_appetite, some_vision_problems, a_sore_neck, blurred_vision, visual_disturbances, problems, nausea, and_visual_disturbance, excessive_appetite, my_neck, a_painful_neck, irritation, my_vision, a_lot, you, and_indigestion, impaired_eyesight, the_left_side, indigestion, depression, the_past_few_days, anxiety, and_regular_headaches, increased_appetite, frequent_headaches, and_excessive_hunger, me, they, a_long_time",Neurologist
migraine headache,"a_migraine, prodrome, that, euphoria_food_cravings_neck, attack, aura, visual_phenomena, system:'you, light_vision_loss_pins, bright_spots, patients, all_stages, varies, 4_to_72_hours, children, pain, the_body_difficulty, pulses, an_aura, your_head, light, -, up_to_60_minutes, the_pain, the_nervous_system, reversible_symptoms, adults, sudden_head_movement, several_minutes, person, one_side, touch_nausea, a_day, examples, which, other_disturbances, an_arm_or_leg_weakness, teenagers, migraines, some_people, stiffness_increased_urination_fluid_retention_frequent_yawning__aura, you, flashes, four_stages, subtle_changes, the_face, needles_sensations, that_throbs, depression, various_shapes, who, not_everyone, auras, migraine_auras, i, a_migraine_attack, sensitivity, each_symptom, patient, an_upcoming_migraine, they, both_sides",Neurologist
migraine with aura,"spots, that, the_field, aura, system:'you, nausea, patients, and_sensitivity, people, light, symptoms, most_people, intense_head_pain, vision, vision_or_vision_loss_flashes, headache, numbness, migraine_aura, sound, less_than_60_minutes, one_side, which, other_disturbances, stars_changes, your_face, simple_geometric_designs_zigzag_lines, these, aura_symptoms, temporary_visual_signs, scotomas, a_limb_speech, one_hand, head_pain, visual_signs, other_migraine_symptoms, the_center, language_difficulty_muscle_weakness, blind_spots, who, other_temporary_disturbances, i, light__other_disturbances, your_field, patient, an_hour",Neurologist
mild cognitive impairment,"the_body, system:'you, instructions, the_brain, patients, mental_function, mci__depression_anxiety, mild_cognitive_impairment, a_person's_name, the_symptoms, friends, a_conversation, poor_judgment, appointments, thought, many_people, trouble, mci, a_short_temper, interest, concerns, your_train, places, these_changes, changes, your_family, a_lack, it, a_task, a_book, you, things, aggression, what, the_plot, movie, the_rest, any, decisions, i, social_events, age, patient, a_word, the_cause, they, your_way",Neurologist
milk allergy,"that, peanuts, :__loose_stools, breathing, system:'you, your_health_care_provider, signs, patients, milk_allergy, a_few_hours, tree_nuts, symptoms, a_marked_drop, the_lips, more_time, the_third_most_common_food, diarrhea, a_true_milk_allergy, mouth_swelling, anaphylaxis, a_medical_emergency, intolerance, itching, shortness, breath_vomiting__signs, milk_intolerance, anaphylaxis_milk_allergy, a_reaction, adrenaclick, constriction, person, milk, which, lactose_intolerance, (adrenaline, tests, treatment, milk_allergy_symptoms, blood_pressure, a_swollen_throat, milk_protein_intolerance, gas, facial_flushing_itching_shock, blood_abdominal_cramps, immediate_signs, it, you, digestive_problems, the_airways, others, tingling_feeling, future_and_potentially_worse_reactions, the_emergency_room, a_life-threatening_reaction, products, babies__milk_allergy, true_milk_allergy, a_trip, i, your_child, milk_consumption, runny_nose_watery_eyes_colic, common_signs, patient, airways, different_treatment, milk_products, the_immune_system","Emergency Medicine Physician, Otolaryngologist"
mitral valve disease,"some_people, shortness, irregular_heartbeat_shortness, heart_palpitations, signs, system:'you, i, mitral_valve_disease, patients, many_years, breath, symptoms, patient, fatigue_irregular_heart_sound, fatigue","Otolaryngologist, Pulmonologist"
mitral valve prolapse,"that, signs, system:'you, patients, symptoms, exercise, blood, shortness, valve, a_racing_or_irregular_heartbeat_(arrhythmia)_dizziness, many_people, flat_fatigue, another, lightheadedness_difficulty_breathing, one_person, noticeable_symptoms, mild_symptoms, i, other_people, breath, mitral_valve_prolapse, the_amount, patient, the_valve","Otolaryngologist, Pulmonologist"
mitral valve regurgitation,"this_condition, system:'you, many_years, patients, sudden_signs, symptoms, other_signs, mitral_valve_regurgitation, ankles, pounding_or_fluttering_heartbeat_(palpitations, sound, dyspnea, acute_mitral_valve_regurgitation, a_common_but_nonspecific_symptom, some_people, edema, swollen_feet, sensation, blood_flow, i, breath, patient, irregular_heartbeat_(arrhythmia)_shortness, the_valve, fatigue","Emergency Medicine Physician, Pulmonologist"
mitral valve stenosis,"that, pregnancy, the_body, system:'you, many_years, patients, symptoms, anything, irregular_heart_rhythms_chest_discomfort, any_age, exercise, any_symptoms, shortness, a_heart_murmur_fluid_buildup, blood__mitral_valve_stenosis_symptoms, mild_ones, stress, mitral_valve_stenosis, fluttering_or_pounding_heartbeat_dizziness, you, chest_pain, increased_activity_swollen_feet_or_legs_sensations, irregular_heart, the_lungs, i, activity, breath, infections, patient, the_heart_rate, childhood, fatigue","Gynecologist, Pulmonologist"
mittelschmerz,"your_menstrual_cycle, that, system:'you, a_day, the_ovary, patients, pain, lower_abdominal_pain, a_few_hours, track, mittelschmerz, menstrual_cramps, several_months, the_same_side, ovulation, slight_vaginal_bleeding, one_side, most_likely_mittelschmerz, an_egg, treatment, the_time, it, you, mittelschmerz_pain, severe__mittelschmerz_pain, a_few_minutes, the_side, i, patient, discomfort, midcycle, sides, your_lower_abdomen, the_pain",Gynecologist
mixed connective tissue disease,"hands, joint_pain, system:'you, patients, red_or_reddish_brown_patches, the_fingers, toes, general_feeling, the_knuckles, early_indications, swollen_fingers, stress, joints, some_people, a_mild_fever, your_fingers, rheumatoid_arthritis, mixed_connective_tissue_disease, what, muscle, raynaud's_phenomenon, cold_and_numb_fingers, increased_fatigue, response, i, rash, patient, this","Dermatologist, Orthopedist"
molar pregnancy,"overactive_thyroid, that, the_vagina, system:'you, protein, patients, pain, the_pregnancy_preeclampsia, symptoms, pregnancy_ovarian, the_first_three_months, most_molar_pregnancies, the_urine, molar_pregnancy________________molar_pregnancy_________molar_pregnancy___molar_pregnancy, cysts, the_fetus, a_molar_pregnancy, a_condition, molar_pregnancy____________molar_pregnancy___molar_pregnancy, 20_weeks, bright_red_bleeding, it, molar_pregnancy, the_vagina_pelvic_pressure, the_first_trimester, high_blood_pressure, a_uterus, the_placenta, i, hyperthyroidism, a_regular_pregnancy, patient, close__close_molar_pregnancy___molar_pregnancy, improved_ways, a_mass, severe_nausea, molar_pregnancy___molar_pregnancy","Endocrinologist, Gynecologist"
